id,total,m20vref,m20v,massref,mass
1,52866,M20V00157,FA-1,MASS00228,BA-5/BA-7
2,50059,M20V00176,FA-1,MASS00421,BA-5
3,37883,M20V00078,FA-1,MASS00323,BA-5
4,45459,M20V00685,FA-2,MASS00917,BA-2
5,34389,M20V00003,FA-2,MASS00227,BA-2
6,33891,M20V00192,FA-1,MASS00423,BA-5
7,25884,M20V01142,FA-3,MASS01218,BA-3/BA-4Panas
8,31125,M20V00222,FA-1,MASS00486,BA-5
9,29510,M20V00153,FA-1,MASS00400,BA-5/BA-8SSP
10,29421,M20V00010,FA-2,MASS00238,BA-1/BA-4Panas
11,24501,M20V00104,FA-1,MASS00358,BA-5/BA-8Es
12,26013,M20V01342,FA-2,MASS01336,BA-1/BA-4ABB
13,26910,M20V00189,FA-1,MASS00434,BA-7
14,17806,M20V00803,FA-2,MASS00998,BA-1/BA-4StABB
15,23561,M20V00707,FA-2,MASS00935,P/BA-2
16,16053,M20V01967,FA-2,MASS01793,BA-3/BA-4Panas
17,19237,M20V00246,FA-1,MASS00515,BA-5
18,22473,M20V00639,FA-3,MASS00880,P/BA-2
19,16615,M20V01968,FA-2,MASS01794,BA-3/BA-4Panas
20,16730,M20V01953,FA-2,MASS01793,BA-3/BA-4Panas
21,27417,M20V00651,FA-2,MASS00890,BA-2
22,16728,M20V00191,FA-1,MASS00436,BA-5
23,15121,M20V01381,FA-2,MASS01336,BA-1/BA-4ABB
24,17666,M20V01465,FA-1,MASS00486,BA-5
25,18972,M20V00215,FA-1,MASS00477,BA-7
26,19499,M20V01218,FA-2,MASS01285,P/BA-3
27,17571,M20V01404,FA-2,MASS01384,BA-1/BA-4ZABB
28,16889,M20V00223,FA-1,MASS00487,BA-5
29,15153,M20V01925,FA-2,MASS01777,P/BA-3/BA-4St
30,16678,M20V00062,FA-1,MASS00302,BA-5/BA-7
31,14730,M20V00727,FA-3,MASS00950,P/BA-1/BA-4CLOOS
32,16149,M20V00447,FA-1,MASS00717,BA-5
33,12857,M20V01457,FA-1,MASS00486,BA-5
34,13779,M20V00772,FA-2,MASS00977,BA-1/BA-4CLOOS
35,14759,M20V00178,FA-1,MASS00535,BA-5/BA-7
36,14212,M20V01915,FA-2,MASS01767,BA-3/BA-4Panas
37,16900,M20V00156,FA-1,MASS00403,BA-5
38,11754,M20V01921,FA-2,MASS01759,P/BA-1/BA-4
39,13158,M20V01920,FA-2,MASS01769,BA-3/BA-4Panas
40,13500,M20V01450,FA-1,MASS01448,BA-5
41,13608,M20V00807,FA-2,MASS01000,BA-4StABB/P/BA-1
42,11573,M20V01111,FA-2,MASS01203,BA-3/BA-4
43,10323,M20V01289,FA-2,MASS01336,BA-1/BA-4ABB
44,13760,M20V00227,FA-1,MASS00491,BA-5
45,14589,M20V01229,FA-2,MASS01294,P/BA-3
46,12496,M20V00808,FA-2,MASS01001,BA-4StABB/P/BA-1
47,10379,M20V01110,FA-2,MASS01202,BA-3/BA-4
48,11848,M20V01084,FA-3,MASS01189,P/BA-3
49,12302,M20V00600,FA-2,MASS00849,P/BA-1/BA-4ABB
50,12012,M20V00598,FA-2,MASS00847,P/BA-1/BA-4ABB
51,10166,M20V01382,FA-2,MASS01336,BA-1/BA-4ABB
