1,A0454 SZWAGIER PIONOWY
2,CIECIE PT
3,Circlip press
4,Collar steaking
5,Collar welder
6,CRIMPER
7,G0584 SZWAGIER ZOLW
8,G0593 BREHM
9,G0646 FAZOWARKA RT2
10,G0655 NOTHING EAGLE
11,G0670 FAZOWARKA RT
12,G0725 NOWY SZWAGIER
13,Gas Fill
14,Gas Fill - FA1
15,Gas Fill - FA2
16,Nut runner
17,Oil fill+Inner assy
18,Prasa Bushing hydr.
19,Prasa Bushing pneum.
20,Prasa Denko
21,Prasa Spring Seat
22,Pressfitting
23,Punching
24,Rollover
25,RT Wash
26,Spaw. BCW
27,Spaw. Bracket 1
28,Spaw. Bracket 2
29,Spaw. Hak nowy nr
30,Spaw. Hak stary nr
31,Spaw. Loop
32,Spaw. SBW nowy nr
33,Spaw. SBW stary nr
34,Spaw. SSW nowy nr
35,Spaw. SSW stary nr
36,Spaw. Stem
37,Test press
38,Test press - LCAM
39,Tyredent
40,Zgrzew. Bracket 1
41,Zgrzew. Bracket 2
42,Zgrzew. Bumper Cup
43,Zgrzew. Denka
44,Zgrzew. Hak nowy nr
45,Zgrzew. Hak stary nr
46,Zgrzew. Loop
47,Zgrzew. Stem/Specer
